,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
Caremean,0.00841806984133538,0.008539375498327803,0.01058227920472276,0.010123245939003224,0.014488900135908526,0.016038359002776434,0.011288825736246429,0.011559229437724548,0.013029898454729339,0.009892819641171995,0.01074559572945547,0.01406893178714068,0.022949302090261227,0.013347553346799625,0.01990197871122755,0.009482404056222672,0.01250388201685432,0.014499277196802794,0.017100182037381676,0.012100423672317645,0.007465041825858325,0.008846423210729237,0.008196421988272931,0.010178863830194231,0.011122772576045471,0.006168414019692411,0.009332458108344582,0.010839202278277685,0.014531162507073831,0.010641595052406826,0.007353353453521825,0.007403957423675022,0.00878566901812261,0.010737908290274224,0.0148914888858106,0.02210632174242989,0.011989921517409692,0.012903000951307616,0.014303174937710855,0.009644018273632054,0.008992398396530661,0.0085879617471411,0.008802302358129422,0.00899746121927501,0.009075168567661494,0.008226107655958152,0.01277534154045228,0.00920052395684194,0.005974800475761284,0.006130963968541069,0.008959731657033449,0.01084775122066022,0.009615193881805947,0.01334699650928227,0.011168728244050232,0.0098468236060109,0.010827497933606768,0.01139463941315475,0.011057933009968787,0.01158615844895735,0.008281411111606617,0.010004636804808962,0.014610143343109967,0.011555546899111658,0.010141601945544256,0.01314477133001278,0.012691386385174922,0.01168391998546306,0.011053153844512867,0.009783424735920226,0.011050705286290274,0.008086099431446328,0.009769531601464194,0.011490344953820675,0.011260669701117087,0.01206569450018696,0.013251400782351406,0.010772116711067252,0.007276510689249118,0.01325726976709821,0.009124230670010672,0.013513419956993835,0.010937303690529821,0.00996945243421707,0.010302908994624183,0.009827888706300593,0.010898322561396912,0.009633873212416396,0.010426113285802216,0.010030497748603795,0.012628860055359677,0.014429042090722011,0.014079661613899792,0.010215527962891052,0.014846275298963447,0.01114949506374957,0.012865350399113124,0.016842444132442718,0.01406829511537321,0.011974845677465921,0.013663158103096268,0.012658234454388986,0.011269722568660934,0.012346249935258386,0.016604693021527332,0.015055010130208215,0.011642514953073191,
Carese,0.0006634474009052588,0.0007859242615880172,0.0011250010891891002,0.0010676373024932739,0.0011193031198106866,0.0013691347597070108,0.0008311620798912408,0.0009829240582651378,0.001308598066748747,0.0010037090743862769,0.0010649243417758377,0.0011977068154923238,0.0019635455132754067,0.0012350437741677225,0.001935825340049764,0.0008797976617313655,0.0016039770846633203,0.0012347194791115428,0.001216845050451826,0.0013097421627915728,0.0007591216911974142,0.0009246048888708995,0.0009145254201152542,0.0008830196076871073,0.001076824762278016,0.0006165126539828856,0.0009727496671371339,0.000887186866284675,0.0009397199935146258,0.0012223584783664285,0.000720458810629586,0.0009695897512602452,0.0012091280128962878,0.0009498824092187231,0.0011440581540852733,0.0018645548741721427,0.0008387458482556191,0.001304410101145946,0.0012178927813676357,0.0008417405960812228,0.0009118358472104139,0.0009129163863549096,0.0009064207984525721,0.0008257964976058814,0.0008244572296496928,0.0006894235446860693,0.0012594824715502727,0.0010133098800995423,0.0007226948361818187,0.0007658609458417432,0.0007125452111504912,0.0007402945513299181,0.0009542581346876257,0.0015167329133545682,0.0008613515908196026,0.0008373378110481789,0.0008596794902731722,0.0005946581873251684,0.00046318136460224153,0.0004430322854637664,0.0010007488940380579,0.0014386896381186874,0.0016668516682462491,0.0010248033890939295,0.0010927919756462256,0.0013970155713849467,0.001134463564538922,0.0008792951999377509,0.0007723957921149665,0.0008721800502526982,0.0009024278606572602,0.0006798468467400221,0.0008826551980222179,0.0008583409563612459,0.0007030772995181124,0.0009940409340797327,0.0009102965065502595,0.0011475133985863262,0.0005671019049403861,0.0010831599065547154,0.0007518405072518968,0.0011922420266896876,0.0008153844727658053,0.0010491845382099416,0.0009283912123219077,0.0008241115991384999,0.0007727755147310369,0.0007452384110797006,0.0010122220109499605,0.0010138524065373886,0.0011403142193906351,0.0012403898244179412,0.0012326075365307573,0.0007349736352173801,0.0012270193313905471,0.0007521538849107974,0.0010927232854240903,0.0011999666497869395,0.0015982463829756063,0.0006382790279222837,0.0038404400953478443,0.0017682014519978943,0.0015418332601832526,0.0013650269332760672,0.0012202946749719458,0.0011535801116261378,0.0012624182203441736,
Fairnessmean,0.003717865326537542,0.002411370786745049,0.0040699202967703465,0.0019193888196794083,0.002212648693965806,0.0018661727523248042,0.0021691361314804605,0.0036844347009645307,0.0021760967636868973,0.003144191337393095,0.0018266219975461677,0.0023433892786490947,0.0024906515975268704,0.0014779320144929135,0.0022404403553921166,0.002563201918894322,0.002318306309195385,0.00325656872537647,0.003146431533155802,0.002584677709258034,0.0016508495181314178,0.0019842594668889033,0.001760891334685345,0.001296608450662598,0.0025395971190542276,0.002086678752394173,0.0028315341158195004,0.003007704107673413,0.002870556371605466,0.002067637580545347,0.002221634340161097,0.0030430150307257137,0.0036131255713768243,0.0029055230930482585,0.002380597436079954,0.002763427236779063,0.0033403395424098435,0.0020002297930160344,0.0023081355917291286,0.0027819604432629424,0.0026966693528290907,0.0018582330445946656,0.001915883144558273,0.0025225443291209027,0.0027000032185008497,0.0023822839926956425,0.0027864298344706983,0.0012164823991560924,0.0025174819969488926,0.003564032468407361,0.0029703979621097326,0.0027165106560794404,0.004259287674114301,0.0031873981105240007,0.00396514795319316,0.0021567427001318485,0.0027970308711686605,0.0030235827592124914,0.0028750969793731587,0.002792757729645373,0.002356903715340098,0.002238279165854343,0.0025283030792946338,0.002229514638868814,0.003208049874978936,0.0022787256056132944,0.0020076737081146825,0.0023802976681407883,0.0021215925928138204,0.0034927654576618126,0.002867750930336545,0.0023527488056276115,0.001914761048974235,0.0025972396272050348,0.0037470853275196688,0.002729454290059224,0.0020415250105990297,0.0027139775085829165,0.0019872120059114505,0.002881409134655374,0.002425104525791021,0.002972937912075911,0.0021812127140575987,0.0019201316957408445,0.0023101721125408973,0.002257369153542844,0.0026423041528219797,0.0025126406849254536,0.0013882386552009174,0.0027098372963558683,0.002464409032299102,0.002262603557373934,0.0028973361154150347,0.006337642034421846,0.002800128785701853,0.0015559033825278158,0.0022392832301995464,0.0020085805456359455,0.002487203921700792,0.0019202606447308484,0.0013352834421752145,0.0017287862096907415,0.0026507485561911587,0.001777796023880433,0.0019806825059767896,0.0021038514161448177,0.0021273450579860314,
Fairnessse,0.0004512885594982509,0.0003920456072357203,0.0005533682905277538,0.00033928569493089916,0.00041452150447336233,0.0002682644369665991,0.0003227146307463039,0.0005585128879327811,0.00036745399909852706,0.0004914553876482527,0.0004009993530262173,0.00033917037420418524,0.00039140237714111885,0.0002977583119970941,0.0004271288357673994,0.00041571286592669655,0.0005073054706848256,0.0005241091263566278,0.0004709277745443908,0.00044620711498059525,0.0002631998860390675,0.0003468868404950027,0.0002858142776045814,0.00022429258298530805,0.00041943333281666516,0.000465728929529382,0.0005818005509160012,0.0004267793467117136,0.00030310839721470423,0.00033804764539154523,0.0003506131903340495,0.0005310182385127656,0.0005905496838799312,0.0006178416590883576,0.0002881319993351185,0.00032974164213563334,0.0004086543026803406,0.00036124556002356875,0.000314042282235263,0.0003926176010439477,0.00040399255595101005,0.00021781757194184423,0.0003271985237203299,0.00031187636867175837,0.0003491138537295781,0.0002597042959565113,0.00036967851580897953,0.0004747986381047794,0.000670447675240642,0.001109885633944946,0.00033658059460028156,0.0003806435209394082,0.0007550862185875142,0.0005874304438527147,0.0005824224814966305,0.0002989682879626189,0.00031369466024953245,0.00026272561456665343,0.00018953500046365714,0.0002067370838599424,0.00046544582403829,0.0003625045915133711,0.00040013128373865,0.00035533812874535906,0.0004759970772733363,0.0003002340926310298,0.0002787694451207207,0.00035342638718585656,0.0002613075122806678,0.0004015207228653996,0.0004265597644840977,0.00027895998947239395,0.00027593544093649537,0.0004108685284333631,0.00040056613924953507,0.0005139189356121405,0.000308143564826631,0.0004220518615043642,0.00026113390961533334,0.00033382705308517284,0.0003238981878935224,0.0004993640117147003,0.0003046577195524365,0.0002810674136212398,0.0003450720280373624,0.00038598898208029564,0.0003181681159720874,0.00030137042169327695,0.00021458115054868635,0.00034663403714225576,0.00039186865431352184,0.0003102733009405935,0.0004575504872203949,0.0006797868071525005,0.0003536549640098836,0.00023068761403905388,0.0002841999849957237,0.0003123633004830229,0.0004170097819526248,0.00023668915664942444,0.0005575641374334219,0.0003623440375512153,0.0005065104839465117,0.0004230775478586923,0.0002871606105797575,0.00034985829622782887,0.0003549711076888872,
Ingroupmean,0.024301121448311164,0.023901477030394774,0.02452648241399902,0.024741932248397738,0.027482174676656135,0.03204210377477386,0.023954024284252452,0.026504760749815705,0.020848168582980376,0.020873632421268776,0.020145193252830693,0.0246154524253633,0.022903547106806817,0.01835361797856519,0.02629993538735561,0.019583343664546605,0.025976991398818188,0.026427948109463188,0.021991117139176203,0.02267070585336705,0.02206590935934418,0.022808661744387934,0.018361688062665305,0.021161762931571463,0.025589863665466915,0.020586710680902145,0.022331244376003867,0.0270847246419761,0.02671047872868356,0.024043061934084245,0.019287182784793015,0.021679630402603216,0.017648816213223523,0.02356674316416356,0.023607018245338635,0.02337473560758634,0.026040807705420912,0.019701941985805202,0.02004176935118155,0.019795396030412093,0.024658707179575988,0.021663946003468246,0.019176657300385737,0.01913081821609758,0.02282315706448691,0.01834131526980104,0.02178145446555067,0.025225611357034963,0.02395232428728116,0.022923868501571198,0.026952382813730778,0.02236684441335644,0.025441063456859196,0.02931848380156598,0.029038529478314937,0.02673254992880673,0.024786775381277545,0.028836764220050715,0.027400092208031048,0.027589368881557393,0.02218289303656372,0.02345015482655066,0.020577584489359608,0.02712228219102576,0.026097279771740648,0.02347894889997976,0.023525685534853572,0.023483447531739407,0.02422123808205138,0.02236639095557614,0.02416908380833927,0.0224728890740992,0.02358923130158839,0.021727702652685844,0.02505581293350334,0.025395314802025778,0.02494284714713192,0.026966123459423678,0.024158256352261712,0.020597162659894974,0.019100665331207023,0.021839986437658686,0.020283930499921103,0.019388792367819565,0.02103442987434368,0.01936770001474494,0.01964175284710057,0.018676852086490763,0.02257208221170303,0.023473517791870947,0.023925558923199617,0.02351120318943489,0.022992195762530955,0.024007868159951384,0.025232675922044177,0.0231573802129405,0.02748142954069307,0.04029879909820624,0.03020618730297572,0.02874097720096827,0.025290351788120842,0.031172222053615004,0.028299845287726257,0.02498477478247876,0.02261738838694131,0.02150374369858509,0.027530706880429277,
Ingroupse,0.0016280164094969647,0.0018331182842897423,0.0018438345801548084,0.0021524939751184496,0.0016826314439180982,0.001835242189742463,0.001303053776839671,0.0016641223317849837,0.001582433825504935,0.0014570306500733222,0.0017475628463850766,0.0015865900393716918,0.001766474456231474,0.0012670262799257996,0.0016865212731185667,0.0015378995730110415,0.0021756859601094443,0.001561992844943047,0.0014682883982933815,0.0017124578236739781,0.0012833042816067786,0.0013250652694233465,0.0012510441089272244,0.001420473241282374,0.001974586688412076,0.0014901429571478578,0.0017521200223504269,0.0016239306799718236,0.0013736468274582528,0.0021803854684829356,0.001103324656563316,0.002024388614957944,0.001456973958362987,0.0016252670023530218,0.0014596740861851345,0.001437961738452031,0.0014067375991170096,0.0012822209744677957,0.0011128757009684245,0.001110930312794146,0.0016288656132841675,0.0009557669074447876,0.0011856542069411152,0.0011122303245635558,0.0015118353790157107,0.0011077764728943758,0.0012065916719311651,0.0024027519411922373,0.001987603668829225,0.0018671654420186767,0.0013070986263324677,0.0012323662322522484,0.0017201468532528938,0.0017468131226479348,0.0015107084228861993,0.0014691514132160002,0.0011041261310044033,0.001019629254325007,0.0006869044245723428,0.0008362427089935876,0.0017203207726873425,0.001816629811767007,0.001466352284444963,0.0017250135204935739,0.001597476097727965,0.0019879749804261938,0.0016493610833677847,0.0014425209123565574,0.0012383323308006954,0.0012963854985259687,0.0015180636249112298,0.0011481622648332576,0.001335289281070755,0.0012493747383412518,0.0012112169245791604,0.0015906648351462517,0.0012358788681306923,0.0022644837139630287,0.001413657584753154,0.0013288777109612456,0.00111578871359192,0.0014036630544415312,0.0012020082306131662,0.0011215217878350362,0.0012534194860579467,0.0014829881983077673,0.0013168205463512904,0.0011433185812619775,0.001505162260514693,0.0015744252659389145,0.0013793826550587906,0.0017225488137564313,0.0012701137816709717,0.001192792395024494,0.0014905694035279456,0.0011664990507892139,0.001543314797222796,0.002881430264424847,0.0021500507414644594,0.0011682361094967947,0.00405251889366962,0.0030308359911990386,0.0020924893343189314,0.0020999151182339673,0.00144364905579232,0.0012944797016939142,0.001952277226293074,
Authoritymean,0.015651652922714594,0.015503437684887574,0.016533752860879207,0.014776273435879665,0.019976823731320037,0.022396777977930306,0.02219868705038763,0.022291080447216016,0.016711835774578458,0.014926613173929983,0.017994138643593015,0.021087784138922844,0.022857835090491573,0.02364281470656531,0.02172542769909834,0.01934703647049735,0.023890418399681652,0.023009555182327966,0.02308098603997203,0.016556608326113855,0.02000910066114957,0.01848719860168093,0.017988035930509183,0.019218559688892235,0.01960611063912956,0.01530121674628151,0.01665612471437455,0.01734508610196533,0.01412767919788048,0.018692587748800275,0.021071339169146268,0.015841824278281555,0.015586332292214847,0.01897533439368936,0.01894393665754627,0.01678050006253041,0.020639245485266383,0.016337555499332326,0.01655918379700978,0.01855112144963113,0.020360992230622484,0.017278093918130216,0.020213460897700004,0.022669570018669285,0.01944600988967505,0.022643014999423616,0.02411564685658106,0.01911253726735551,0.009538780685935166,0.010226610740748389,0.011989731508335886,0.015575632211170688,0.016217025241571738,0.01958636738665086,0.020077946182927624,0.014871098553459371,0.012555226900448177,0.012972192867891499,0.011878730919069198,0.012458374689506798,0.015883759824088725,0.01531344445868595,0.016123321046619673,0.018770357801290074,0.017450242177278585,0.019042917465415816,0.020208662708264456,0.014973100072396725,0.016562505267814158,0.016115698224222503,0.017711235892789397,0.02042644878751868,0.015838275691687297,0.016859297896099513,0.01786099279829478,0.017241808367868816,0.013382654713063004,0.01476398929715771,0.0154800236257829,0.019276636153659814,0.019478164606551617,0.018944400580200766,0.018710094168532258,0.015007138429497673,0.017643960087405996,0.016004146630577105,0.015344012115904346,0.01684759467558416,0.018220504300665366,0.01537307337456895,0.014908272783257234,0.014142228552349775,0.014952540647058973,0.014985926934662946,0.02260490847396294,0.021262105756387817,0.01808486266328631,0.01937551151255993,0.01582828173341088,0.015311346427620632,0.020661352700782024,0.014843468426653933,0.019457705004827495,0.017454290628856936,0.016128014548800463,0.016020934797564137,0.016018714147576624,
Authorityse,0.0009149588118052973,0.0012165503713556349,0.0012747345739693894,0.001137078284067198,0.0015255203596313055,0.0017959752217135475,0.0014921662773228648,0.0017583454172093976,0.0011222518925865707,0.0010444545141745723,0.0015597145119132486,0.0015008150905504167,0.0016799653815378446,0.0014600990689297682,0.001289891424810627,0.001411720376397402,0.0019578211147284275,0.0014706739171876646,0.0014024435310111315,0.0011469020439097664,0.0011770132895705988,0.0011356087410726613,0.0010829772728536307,0.0012534383501833157,0.0015145491429682184,0.0007640434892905733,0.0011569372719991912,0.0012652022868331744,0.0008736707166037424,0.001915409197137947,0.0014555105568744536,0.0015463010070148782,0.001344872066548045,0.0012589476858457255,0.0012319468177445672,0.0009869949917782302,0.0013587975674476348,0.0011381180914280462,0.0009671007072643877,0.00100066100527978,0.0016442384754062123,0.0010158141995558598,0.0013073797749016635,0.0014075425124220992,0.0014828864820006923,0.0011729195174235954,0.0019091741378634698,0.0019479396048775746,0.0011875100063936607,0.0011997522872605653,0.0008776556460571377,0.0010130341461289164,0.0012099737242219253,0.0012080303410431186,0.0011012681286656741,0.0010329581425033943,0.0007723326311771958,0.0005445753178524048,0.0004382466253745361,0.0004529321461351868,0.0011542534077276139,0.0012500805059455105,0.0012666518031440312,0.0015073962429118129,0.0012328728669105439,0.0011816588163764612,0.0027666466761039317,0.0010327756378236967,0.0009615320358770161,0.00097884992169824,0.0017327907981289567,0.0010212074354292906,0.0012087854760617898,0.0009928250397401867,0.0008876331178235367,0.0013216272443291204,0.0008801789073318275,0.001315253606648994,0.001000457537797402,0.001494487176890329,0.0012260986052648514,0.001125586281176438,0.0011656839113987176,0.001104301710634336,0.0012713678028629526,0.0010761037918257368,0.0009173473745760138,0.0011272088700885288,0.0010806016843812288,0.0011047117451981614,0.0009856015460435296,0.0009626751826870048,0.0010600166139006358,0.0009669184802621094,0.001758667552400067,0.0011261989580916092,0.0008767407133215519,0.0011330959004719797,0.0014507753489105795,0.0007636494067954124,0.005283753178160911,0.0012398684016616157,0.0019072297464352993,0.001797791417083761,0.0010531519267521407,0.001028880168348221,0.0013268256898851453,
Puritymean,0.00423037394845331,0.00348536233284903,0.0054269644659685375,0.004808713311072237,0.005444523625252058,0.0046717890268378835,0.004205613434090716,0.004374004656572345,0.005815095998437358,0.0036425758294813437,0.003589422963811599,0.0032662135038517403,0.003589326752559029,0.004699921386194886,0.004669957486380101,0.004419562266635044,0.0032355223616025923,0.0034564474577264055,0.003705431150557073,0.003030649273030198,0.0029298287462870753,0.0032543382901880423,0.002480490953205066,0.0031711624157226125,0.003455840404934793,0.0029768175042442203,0.003379600414640796,0.004140245804214569,0.0042834673103140505,0.0032562245392668953,0.0030673460371224317,0.002742589253057071,0.002651738401802153,0.003475101905758148,0.003361707517694549,0.004673847266694015,0.0029963886107027718,0.003646416729922972,0.003815624955352883,0.003630391386225999,0.0026468426311379617,0.0037902491516040907,0.002148403453775399,0.004253295381204605,0.0037894238150968478,0.003255045418813802,0.003890165118744918,0.0029263032600697052,0.0018406516250503537,0.0025264323284440856,0.002596597721027376,0.0037818871075695594,0.00254256106666756,0.003978312792406736,0.0031150543743759807,0.0034779492788411274,0.003789492017180793,0.0030220051045764342,0.0029527327977583186,0.003451416581563161,0.003232142784099604,0.002447725180501529,0.0026232410853470915,0.0029174401151413894,0.003367194540289739,0.002936083987377059,0.0031417405731817886,0.002710276067352633,0.0031355950005021605,0.0034998129688549482,0.004318139239902299,0.0038243063294625744,0.0035103366440675985,0.0031942900806395916,0.0030186619710450397,0.0030798783555730323,0.003498043378737883,0.004116048494064814,0.002702236674615095,0.002932520562522267,0.003077456884658029,0.003152546374239052,0.003403096091855771,0.0026562330475837018,0.0038605163338198594,0.0033770437110296424,0.002565001334632408,0.0035573487736459187,0.002826320792653489,0.004273701531911528,0.0030120658462087844,0.0025164907383319643,0.003798585756814114,0.003898406092559044,0.002788459176759211,0.0032955798265703567,0.003414789715475619,0.0037382904374335725,0.004379332500448483,0.0033846911352668732,0.0030370195805992095,0.002782002906218375,0.0036054389364713452,0.0023189860983411866,0.003436167398200053,0.0032953508085257033,0.00289986409047542,
Purityse,0.0005304122023934814,0.0005639792443617595,0.0006349348352021571,0.000638417845123876,0.0006523398490254083,0.0006252285023589836,0.000463593763962371,0.000709716423162357,0.0008993965348032938,0.000519885474618071,0.0008853419460174657,0.00045418843991992434,0.0005119230674432069,0.0005208951320441167,0.0005378188230375026,0.000623024355777093,0.0004550925811075835,0.0005191844372047801,0.000506565297516685,0.0005349082961760939,0.00039132180275465743,0.0004883898798838512,0.000365633087342618,0.00047951907575576557,0.00045831857839728914,0.0004907810885324129,0.000719616504696248,0.0005255895643604912,0.00034866077501647974,0.0005743979231763403,0.0004369491325146509,0.0007900147251319144,0.0005893198368736994,0.00047390083195133695,0.000433150947511851,0.0005831615935298694,0.00040603221554900786,0.0004062515860002714,0.00046549055241043065,0.00043860645798392197,0.00034822037862554,0.0004302997067375888,0.00032724587882926537,0.0004981523149135283,0.00047096158421214176,0.00035705938621007446,0.00046300116137641277,0.0005419824698540328,0.00038657855489935167,0.0004311726272012489,0.0003739282469698498,0.00048722023952380185,0.00036142508660381864,0.0006128334175167204,0.0003569864209369608,0.00037516299236706044,0.0006975333458187128,0.00023032231230043585,0.00018309375561659062,0.00021966319933114042,0.0005818639989111439,0.0004398751135148324,0.0005053265455551945,0.00046583350511843777,0.0004915048700797054,0.00048802882959274356,0.00041293111581546546,0.000362927795215212,0.0003642618117725267,0.0003085858741464555,0.0007605473323688823,0.0005866198716346319,0.00046288543901038735,0.00038495782301056574,0.00034926665869646303,0.0003694698567838305,0.00040990686210613954,0.0005959865637812376,0.0003169357429315241,0.0004269325422946755,0.00039541843662278754,0.00047354589645827894,0.0005525780097771924,0.0004608566846204467,0.00039527452757739647,0.0005701720693722167,0.0004188424127171375,0.00037403848803591586,0.0004224292446744791,0.0006026725049695039,0.0004936585383952418,0.0003831110268881326,0.0004309799351589894,0.0005494380916104145,0.00036621824312231874,0.0004698852417162125,0.0007047271666615918,0.0005678339994682246,0.0006536833100779492,0.0003354255970261777,0.0010826574731341214,0.0004814119425142745,0.000887669879309355,0.00035621750035460316,0.000512924418156883,0.00044767672426330345,0.00047882992049034785,
